Year,Value,Unit,Country,Sector,Source,Scenario,DataType,Method,Notes
2011,133.30590891979932,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2012,132.917674391752,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2013,139.28276857794916,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2014,153.16073298365342,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2015,171.60312529176383,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2016,191.34288194220005,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2017,193.0683246700999,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2018,244.88073853581312,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2019,294.6340007936705,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2020,305.14637392448003,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2021,291.8431328866624,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2022,273.6527092755191,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2023,326.8757948762236,MtCO2e,Viet Nam,Subtotal: Energy & Industry,EDGAR,,Historical,"Sum of EDGAR Power Industry, Industrial Combustion, Transport, and Buildings sectors.","Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1970,2.85978168975279,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1971,2.863089259325605,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1972,2.9584541808345883,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1973,2.859512840600925,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1974,2.330828313811039,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1975,2.331452169809256,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1976,0.7773498647266555,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1977,0.4969036197217196,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1978,0.5744603493631449,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1979,0.6833788860004593,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1980,2.020720447489068,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1981,1.654603761954788,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1982,1.736022841578894,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1983,1.9368255217278512,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1984,1.8866999516189809,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1985,2.923547521296401,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1986,3.25396702116131,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1987,3.794256684101641,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1988,4.049563741653257,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1989,3.670763159640626,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1990,4.252381956413481,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1991,4.0245872265768385,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1992,4.502756057186161,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1993,7.038241434335152,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1994,7.766247942849486,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1995,7.414992714520764,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1996,8.153685533839708,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1997,8.912690842255037,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1998,9.385661488110381,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1999,10.045810394111735,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2000,10.771196072784463,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2001,11.509610973643948,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2002,14.10581068591687,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2003,15.96091743917618,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2004,19.570750314827688,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2005,19.777175017594498,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2006,19.75827108685775,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2007,23.10277847982796,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2008,24.58810126144843,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2009,29.48528437348861,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2010,31.664248762635303,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2011,31.03935594264193,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2012,30.561041753181883,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2013,29.79192714043178,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2014,30.44338265455098,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2015,33.6874204526031,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2016,37.34648843737009,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2017,40.6415349448631,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2018,42.46138515985687,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2019,44.20490205326489,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2020,37.16059092699938,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2021,32.58090982067075,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2022,35.548926418720065,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2023,39.88437853163405,MtCO2e,Viet Nam,Transport,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1970,3.40004246619253,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1971,3.58587594312462,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1972,3.67003189320416,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1973,3.73055060742866,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1974,3.81203314455837,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1975,3.86272277510581,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1976,3.94317562543573,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1977,4.01708847119662,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1978,4.09722848395152,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1979,4.19993662405573,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1980,4.29040450386891,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1981,4.40085520623001,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1982,4.49611136303267,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1983,4.6014915822814295,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1984,4.70998385309172,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1985,4.79771236607292,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1986,4.91760474943404,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1987,5.01922874111811,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1988,5.1289153148344,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1989,5.24485258950256,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1990,5.37291302524408,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1991,5.55296194897196,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1992,5.78780413868926,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1993,6.01967574295197,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1994,6.2263654064077505,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1995,6.44711114394073,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1996,6.705984387141,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1997,6.94374818083921,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1998,7.164997342655529,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1999,7.6259064446532605,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2000,7.90851418588216,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2001,8.15466729072976,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2002,8.43927069153229,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2003,8.74183626140794,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2004,9.16389119382637,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2005,9.54180608126634,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2006,9.73887007967433,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2007,10.134176111780711,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2008,10.46865405323376,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2009,10.89459032881711,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2010,11.277642686693849,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2011,11.92142204528238,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2012,12.480956824304139,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2013,12.9721104246729,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2014,13.39250945112472,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2015,13.83961750373593,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2016,14.211599027104999,MtCO2e,Viet Nam,Waste,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
